id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,実家が空き家になってからどのくらい経ちますか？,まだ空き家ではない（事前確認）,1年未満,1年以上,A,B,C
2,空き家の管理（換気・通水・草刈り）はできていますか？,月1回以上できている,数ヶ月に1回,ほとんどできていない,A,B,C
3,実家の築年数は？,20年未満,20〜35年,35年以上（旧耐震の可能性）,A,B,C
4,近隣から苦情（草・ゴミ・外観）が来たことはありますか？,ない,1〜2回ある,複数回ある,A,B,C
5,実家の固定資産税はきちんと払えていますか？,払えている,少し負担だが払っている,滞納リスクがある,A,B,C
6,実家に不法侵入・不審者の形跡はありますか？,ない,気になることがある,あった,A,B,C
7,実家の屋根・外壁・基礎に損傷はありますか？,特にない,少し気になる部分がある,かなり傷んでいる,A,B,C
8,自治体から「空き家に関する通知・指導」が来たことはありますか？,ない,1度来た,複数回来た,A,B,C
9,実家を今後どうするか方針は決まっていますか？,決まっている,検討中,まったく決まっていない,A,B,C
10,実家の相続登記（名義変更）は完了していますか？,完了している,手続き中,していない,A,B,C
