id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,親との関係はどのくらい良好ですか？,非常に良好,普通,少し問題がある,A,B,C
2,配偶者と親の関係はどのくらい良好ですか？,良好,普通,少し問題がある,A,B,C
3,実家の広さは十分ありますか？,十分広い（4LDK以上）,普通（3LDK程度）,少し狭い（2LDK以下）,A,B,C
4,プライバシーの確保は重要ですか？,それほど気にしない,少し気になる,非常に重要,A,B,C
5,親の介護が必要な状況ですか？,まだ元気,少し手助けが必要,常時介護が必要,A,B,C
6,子供（孫）の育児サポートを親に期待しますか？,期待している,少し期待,あまり期待しない,A,B,C
7,経済的な負担の分担は話し合えそうですか？,話し合える,少し難しい,難しい,A,B,C
8,生活リズム（食事・睡眠・外出）は親と合いそうですか？,合う,ある程度合う,かなり違う,A,B,C
9,実家のリフォーム費用は出せますか？,出せる（200万円以上）,少しなら（100万円以内）,難しい,A,B,C
10,同居が難しくなった場合の「出口戦略」を考えていますか？,考えている,少し考えている,まったく考えていない,A,B,C
