id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,親の遺言書はありますか？,作成済み,作成を検討中,まったくない,A,B,C
2,相続人（兄弟・子供など）は何人いますか？,1人,2〜3人,4人以上,A,B,C
3,相続財産の内訳は把握できていますか？,把握している,だいたい把握,まったくわからない,A,B,C
4,不動産（実家・土地）は相続財産の何割を占めていますか？,3割未満,3〜7割,7割以上,A,B,C
5,相続人全員の仲は良いですか？,良い,普通,少し問題がある,A,B,C
6,相続税の申告が必要かどうか確認していますか？,不要と確認済み,要確認,まったく考えていない,A,B,C
7,実家の名義は誰になっていますか？,親（1人）,親と子の共有,すでに共有名義（複数人）,A,A,C
8,実家を誰が相続するかで揉める可能性はありますか？,ない,少しある,かなりある,A,B,C
9,親の介護費用・老後資金は実家売却で賄う予定ですか？,そうではない,少しある,はい,A,B,C
10,税理士・司法書士に相続の相談をしたことはありますか？,ある,検討中,まったくない,A,B,C
