id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,実家は現在どのような状態ですか？,親が住んでいる,空き家になっている,兄弟・親族が住んでいる,A,B,C
2,実家の立地はどのくらいですか？,駅から徒歩10分以内・利便性が高い,車がないと不便,山間部・過疎地域,A,B,C
3,実家の築年数は？,20年未満,20〜35年,35年以上,A,B,C
4,あなた自身が将来実家に住む可能性は？,高い（戻る予定がある）,少しある,ほぼない,A,B,C
5,相続人（兄弟・親族）は何人いますか？,自分一人,2〜3人,4人以上,A,B,C
6,実家の住宅ローンは残っていますか？,残っていない,少し残っている,かなり残っている,A,B,C
7,実家の維持費（固定資産税・修繕費）をどのくらい払えますか？,問題なく払える,少し負担,かなり負担,A,B,C
8,実家を売却することに家族全員が同意できそうですか？,同意できる,少し抵抗がある,同意が難しい,A,B,C
9,実家周辺の賃貸需要はどのくらいと思いますか？,高い（需要がある地域）,普通,低い（借り手がいなそう）,A,B,C
10,実家に対してどのくらい愛着がありますか？,非常に強い,ある程度ある,あまりない,B,B,A
